id,name,party,sector,country,type
ul,Ursula von der Leyen,CDU,Politik,Deutschland,1
lk,Lars Klingbeil,SPD,Politik,Deutschland,1
nr,Norbert Röttgen,CDU,Politik,Deutschland,1
sw,Sahra Wagenknecht,DieLinke,Politik,Deutschland,1
cs,Constanze Stelzenmüller,,Jura,Deutschland,1
CDU,CDU,,,,2
SPD,SPD,,,,2
Linke,DieLinke,,,,2
500,Folge 500,,,,
cl,Christian Lindner,FDP,Politik,Deutschland,1
ks,Karl Schlögel,,Geschichte,Deutschland,1
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine,1
kd,Kristina Dunz,,Presse,Deutschland,1
el,Egils Levits,,Politik,Lettland,1
FDP,FDP,,,,2
501,Folge 501,,,,
ab,Annalena Baerbock,DieGrünen,Politik,Deutschland,1
ft,Frans Timmermans,,Politik,Deutschland,1
am,Andrij Melnyk,,Politik,Ukraine,1
al,Alexander Graf Lambsdorff,,Politik,Deutschland,1
er,Egon Ramms,,Militär,Deutschland,1
Grünen,DieGrünen,,,,2
502,Folge 502,,,,
rh,Robert Habeck,DieGrünen,Politik,Deutschland,1
cm,Claudia Major,,Wissenschaft,Deutschland,1
kp,Katja Petrowskaja,,Presse,Ukraine,1
rk,Roderich Kiesewetter,CDU,Politik,Deutschland,1
503,Folge 503,,,,
